gender,distance_m,age,factor
M,100,94,0.5827
M,100,95,0.5666
M,100,96,0.5499
M,100,97,0.5324
M,100,98,0.5142
M,100,99,0.4953
M,100,100,0.4757
M,100,101,0.4554
M,100,102,0.4343
M,100,103,0.4126
M,100,104,0.3901
M,100,105,0.3669
M,100,106,0.3429
M,100,107,0.3183
M,100,108,0.2929
M,100,109,0.2668
M,100,110,0.2400
M,200,20,1.0000
M,200,21,1.0000
M,200,22,1.0000
M,200,23,1.0000
M,200,24,1.0000
M,200,25,1.0000
M,200,26,1.0000
M,200,27,1.0000
M,200,28,1.0000
M,200,29,1.0000
M,200,30,1.0000
M,200,31,1.0000
M,200,32,0.9981
M,200,33,0.9917
M,200,34,0.9854
M,200,35,0.9791
M,200,36,0.9729
M,200,37,0.9667
M,200,38,0.9605
M,200,39,0.9543
M,200,40,0.9482
M,200,41,0.9421
M,200,42,0.9360
M,200,43,0.9299
M,200,44,0.9239
M,200,45,0.9179
M,200,46,0.9120
M,200,47,0.9060
M,200,48,0.9001
M,200,49,0.8942
M,200,50,0.8883
M,200,51,0.8825
M,200,52,0.8767
M,200,53,0.8709
M,200,54,0.8652
M,200,55,0.8594
M,200,56,0.8537
M,200,57,0.8480
M,200,58,0.8424
M,200,59,0.8368
M,200,60,0.8312
M,200,61,0.8256
M,200,62,0.8200
M,200,63,0.8145
M,200,64,0.8090
M,200,65,0.8035
M,200,66,0.7980
M,200,67,0.7926
M,200,68,0.7872
M,200,69,0.7818
M,200,70,0.7764
M,200,71,0.7711
M,200,72,0.7658
M,200,73,0.7605
M,200,74,0.7552
M,200,75,0.7500
M,200,76,0.7447
M,200,77,0.7388
M,200,78,0.7322
M,200,79,0.7249
M,200,80,0.7170
M,200,81,0.7083
M,200,82,0.6990
M,200,83,0.6890
M,200,84,0.6783
M,200,85,0.6669
M,200,86,0.6549
M,200,87,0.6421
M,200,88,0.6287
M,200,89,0.6146
M,200,90,0.5998
M,200,91,0.5843
M,200,92,0.5682
M,200,93,0.5513
M,200,94,0.5338
M,200,95,0.5156
M,200,96,0.4966
M,200,97,0.4771
M,200,98,0.4568
M,200,99,0.4358
M,200,100,0.4142
M,200,101,0.3918
M,200,102,0.3688
M,200,103,0.3451
M,200,104,0.3207
M,200,105,0.2957
M,200,106,0.2699
M,200,107,0.2435
M,200,108,0.2163
M,200,109,0.1885
M,200,110,0.1600
M,400,20,1.0000
M,400,21,1.0000
M,400,22,1.0000
M,400,23,1.0000
M,400,24,1.0000
M,400,25,1.0000
M,400,26,1.0000
M,400,27,1.0000
M,400,28,1.0000
M,400,29,1.0000
M,400,30,1.0000
M,400,31,1.0000
M,400,32,1.0000
M,400,33,0.9950
M,400,34,0.9887
M,400,35,0.9824
M,400,36,0.9761
M,400,37,0.9699
M,400,38,0.9636
M,400,39,0.9574
M,400,40,0.9513
M,400,41,0.9451
M,400,42,0.9390
M,400,43,0.9329
M,400,44,0.9269
M,400,45,0.9208
M,400,46,0.9148
M,400,47,0.9088
M,400,48,0.9028
M,400,49,0.8969
M,400,50,0.8909
M,400,51,0.8850
M,400,52,0.8791
M,400,53,0.8733
M,400,54,0.8674
M,400,55,0.8616
M,400,56,0.8558
M,400,57,0.8501
M,400,58,0.8443
M,400,59,0.8386
M,400,60,0.8329
M,400,61,0.8272
M,400,62,0.8215
M,400,63,0.8159
M,400,64,0.8103
M,400,65,0.8047
M,400,66,0.7991
M,400,67,0.7935
M,400,68,0.7880
M,400,69,0.7825
M,400,70,0.7770
M,400,71,0.7715
M,400,72,0.7654
M,400,73,0.7588
M,400,74,0.7517
M,400,75,0.7440
M,400,76,0.7357
M,400,77,0.7269
M,400,78,0.7175
M,400,79,0.7075
M,400,80,0.6970
M,400,81,0.6859
M,400,82,0.6743
M,400,83,0.6620
M,400,84,0.6493
M,400,85,0.6360
M,400,86,0.6221
M,400,87,0.6076
M,400,88,0.5926
M,400,89,0.5770
M,400,90,0.5609
M,400,91,0.5442
M,400,92,0.5269
M,400,93,0.5091
M,400,94,0.4907
M,400,95,0.4718
M,400,96,0.4523
M,400,97,0.4322
M,400,98,0.4116
M,400,99,0.3904
M,400,100,0.3686
M,400,101,0.3463
M,400,102,0.3234
M,400,103,0.2999
M,400,104,0.2759
M,400,105,0.2514
M,400,106,0.2262
M,400,107,0.2005
M,400,108,0.1742
M,400,109,0.1474
M,400,110,0.1200
M,800,20,1.0000
M,800,21,1.0000
M,800,22,1.0000
M,800,23,1.0000
M,800,24,1.0000
M,800,25,1.0000
M,800,26,1.0000
M,800,27,1.0000
M,800,28,1.0000
M,800,29,1.0000
M,800,30,1.0000
M,800,31,1.0000
M,800,32,1.0000
M,800,33,1.0000
M,800,34,1.0000
M,800,35,0.9965
M,800,36,0.9887
M,800,37,0.9810
M,800,38,0.9732
M,800,39,0.9656
M,800,40,0.9580
M,800,41,0.9504
M,800,42,0.9429
M,800,43,0.9354
M,800,44,0.9279
M,800,45,0.9205
M,800,46,0.9132
M,800,47,0.9059
M,800,48,0.8986
M,800,49,0.8914
M,800,50,0.8842
M,800,51,0.8771
M,800,52,0.8700
M,800,53,0.8629
M,800,54,0.8559
M,800,55,0.8489
M,800,56,0.8420
M,800,57,0.8351
M,800,58,0.8283
M,800,59,0.8214
M,800,60,0.8147
M,800,61,0.8079
M,800,62,0.8012
M,800,63,0.7946
M,800,64,0.7880
M,800,65,0.7814
M,800,66,0.7748
M,800,67,0.7683
M,800,68,0.7619
M,800,69,0.7554
M,800,70,0.7490
M,800,71,0.7427
